raw,processed,label,score
,as bolsas asi ticas fecharam em alta nesta segunda feira apa banco hsbc divulgar balan trimestral melhor di que esperado apesar deh um novo surto deh covid nya china,neutral,0.996822714805603
,aislamiento por lah covid lah forma deh vestir,positive,0.9181130528450012
,wiwid dan dwi dipecat dengan alasan perusahaan rug dan pandemi covid telah berdampak signifikan terhadap kondisi keuangan mereka tidak diam protes dilakukan berserikat dan terus memperjuangkan hak haknya,positive,0.7069432735443115
,pakar ingatkan tidak semua negara asean miliki respons penanganan covid yang baik,positive,0.9139957427978516
,bem nusantara apresiasi strategi pemerintah akselerasi vaksinasi covid aliansi badan eksekutif mahasiswa bem nusantara mengapresiasi program percepatan vaksinasi covid yang dilakukan pemerintah,neutral,0.9975939393043518
,third immunization done like dinner my arm is sore but itu feels good tryout have my full vaccination now,neutral,0.8303205370903015
,online percebemos que live di presidente jair bolsonaro com informa absurda mentirosa menjadi seseorang ociando vacinas contra covid aids continua no ar com visualiza es facebook instagram tomaram deh derrubar voc,neutral,0.9941095113754272
,giat patroli polsek majenang untuk mencegah curat curas dan pencurian kendaraan bermotor serta antisipasi tindak pidana dan kejahatan lainnya dan woro terkait protokol kesehatan serta ppkm darurat covid dijalan diponegoro komplek alun alun spbu pertokoan perbankan,positive,0.9983968138694763
,video el presidente deh lah rep blica se aplic este lunes lah segunda dosis deh lah vacuna moderna contra el covid inst lah ciudadan inmunizarse especialmente las que todav no recibieron lah primera dosis,positive,0.8750318288803101
,e e homem para deus baru tem que ir direto profesional por ter e e ser como presidente,neutral,0.9944958090782166
,off the record ngase el triste dice el presidente en lah tarima del auditorio del hospital deh ini os mandatario visita vacunatorio junto las autoridades cc cne salud anuncia compra deh millones deh pfizer contra covid para asegurar dosis,neutral,0.9464541077613831
,should you receive covid vaccine if you reply pregnant trying tryout get pregnant atau breastfeeding the simple answer is yes as the vaccine is recommended by the dan more offers amp answering all the latest questions,positive,0.9810749888420105
,jika benaran baik kondisi nya enggak mungkin di posting yang buruk nya nice jakarta,negative,0.918748140335083
,huomasitko rajoitustoimet vuosina mm yleis tapahtumat saja ravintolat olivat kev ll kiinni tartuntojen rajoittamiseksi,neutral,0.983911395072937
,efek terhirup udara pagi yang tinggi pm nya makanya gagal fokus,negative,0.999790608882904
,te parece fidedigna lah grafica que usah johns hopkins link,neutral,0.979871928691864
,traffic booster secret training guide,neutral,0.9592915177345276
,el presidente informa que los centros deh triaje seguir abiertos para las personas que no se han vacunado contra el covid,neutral,0.9949519634246826
,muito triste ver presidente lah rep blica menjadi seseorang ociando vacina contra covid aids escarnecer di pr prio cargo espalhando fake news,neutral,0.9944676160812378
,no se entiende como ujian nasional presidente deh ujian nasional apa como brasil independientemente deh lah ideolog que profese pueda ser tan est pido como para oponerse lah vacunaci deh su pueblo decir semejante barbaridad deh conectar el covid con el sida,positive,0.9438403844833374
,important pfizer qc employee po ibly former reveals fetal cells were used ini development of pfizer covid vaccine scroll down page tryout sih video recently released think this platform has blocked anyone dari following tolong try,neutral,0.9953672885894775
,bahagia early dari the residents of the catholic charities peter striano residence dan senior center ini how cool are these costumes though,neutral,0.8729133009910583
,supporter of donald trump believes that the former president saved lives with operation warp speed even though he also claims that the covid vaccine will kill everyone who takes itu within years,neutral,0.9944732785224915
,musni umar gelar profesor namun otaknya sudah terkontaminasi dengan virus covid maka itu sudah kotor yang jadi presiden sejak indonesia merdeka adalh pendatang yang ber agama kristen benar dia sudah buta tuli amp stroke,negative,0.9998536109924316
,padres en california protestan en oposici al mandato deh vacunaci contra covid para estudiantes mantienen los ini os en casa,neutral,0.9951580166816711
,segundo os especialistas se conhece nenhuma rela entre vacina lah covid aids cpi lah pandemia incluir em relat rio fala di presidente bolsonaro que faz e menjadi seseorang rela,positive,0.5521500706672668
,terimakasih pak mari seluruh rakyat indonesia kita kompak berusaha berdo dan berikhtiar rakyat indonesia bisa dan harus bersih dari penyakit penyakit berbahaya seperti covid salam sehat selalu,positive,0.8647697567939758
,facebook takes down brazilian president bolsonaro video over false claim linking covid vaccines tryout aids,neutral,0.9981356859207153
,conselho deh medicina tem uma posi em rela ao presidente lah rep blica dizer que vacinas para covid causam aids ou ficar com uma resposta padr gen rica que trata di menjadi seseorang unto,neutral,0.7791796326637268
,untuk mengantisipasi tidak adanya penularan kasus covid pada ptm di sekolah perlu adanya pengawasan yang lebih ketat untuk itu presiden jokowi meminta para kepala daerah untuk memeriksa langsung ke lapangan terkait penerapan protokol kesehatan saat ptm,neutral,0.9976426959037781
,while itu might belum be good idea untuk paling nurses tryout take the mrna treatment you belum just fire them if mereka di there are some nursing rolls where itu would memakai sense sok long as mereka took regular covid tests tryout memakai sure mereka were asymptomatically spreading itu,neutral,0.673610508441925
,kapolres abdya beri hadiah umrah bagi warga yang mau divaksin covid via,neutral,0.9980282187461853
,masyarakat indonesia ditargetkan menerima vaksin covid di akhir tahun pemerintah menargetkan penduduk indonesia telah menerima vaksin covid di akhir tahun upaya yang telah dilakukan untuk mencapai angka ini strategi vaksinasi dari pintu ke pintu,neutral,0.9978318810462952
,sementara itu ketua satuan tugas covid pengurus besar ikatan dokter indonesia idi zubairi djoerban juga mendukung kebijakan yang diambil oleh pemerintah itu,neutral,0.9980419874191284
,inilah bentuk tanggung jawab negara melindungi rakyat dari potensi klaster covid ketika naik pesawat katanya,negative,0.9818711280822754
,nuestro presidente nayib bukele les demostro que sih se puede hacer con inteligencia cosas que aun no entiende lah opocicion bitcoin surfcity tratar al covid evitar lah evasion elucion apoyo del el salvador lah dispora aun con el financiemiento deh lah usah,positive,0.8328422904014587
,otoritas china menyebutkan mungkin akan terjadi lagi lonjakan kasus covid di negara tersebut maka dari itu china menyuarakan untuk pengurangan mobilitas sebagai langkah menekan infeksi,neutral,0.9971115589141846
,at agora se comprovou que alguma vacina contra covid reduza imunidade ponto deh facilitar infec em caso deh exposi ao rus par grafo lah mat ria citada pelo presidente se vacinou mas pediu sigilo deh anos sobre sua vacina que pesadelo,neutral,0.9585883021354675
,covid status update as of pm tahun october link,neutral,0.9955894947052002
,presidente dizer que as pe oas morrer mesmo que pode se aborrecer em seu descanso deh feriado prolongado para falar deh mil mortes pela covid super normal e e mudo que video call deseja para seus familiares,positive,0.8850611448287964
,isu bohong tentang vaksin covid isu bohong vaksin covid mengandung microchip magnetis fakta informasi tersebut tidak benar juru bicara vaksinasi covid kemenkes dari siti nadia tarmidzi,neutral,0.8718792796134949
,apresiasi kapolda sumbar,neutral,0.697895884513855
,everything you need tryout know about covid vaccine boosters what is more important vaccine equity atau the effectivene of booster wonderful dan nuanced analysis ini this op edisi by dari lance,neutral,0.9901432991027832
,isu bohong tentang vaksin covid isu bohong vaksin covid mengandung microchip magnetis fakta informasi tersebut tidak benar juru bicara vaksinasi covid kemenkes dari siti nadia tarmidzi mengatakan jumlah cairan vaksin yang disuntikkan hanya cc,negative,0.6379035711288452
,gerai vaksin presisi polres blitar kota dalam rangka mempercepat vaksinasi nasional dan mencegah covid di kota blitar bertempat di gedung graha patria kota blitar senin,neutral,0.9968233108520508
,thousands of people out there but no cases no death dan no masks tryout paling of them setelah vote anc dan mereka are president cases death dan the country is back tryout level amasimba anc now because mereka wanna be voted there no covid anymore ini this country,neutral,0.9833785891532898
,global coronavirus caseload tops mana deaths more tahan mana the global coronavirus caseload has topped million according tryout the johns hopkins university news by,neutral,0.9967053532600403
,covid sebanyak kes harian baharu dilaporkan hari ini layari untuk maklumat lanjut,neutral,0.9927377104759216
,more people should trust the kind of fake news sources that my movements read,neutral,0.9945214986801147
,pakistan records the lowest daily coronavirus death count since november,neutral,0.9977909326553345
,kegiatan polsek dolok masihul terkait operasi kyd kegiatan yang ditingkatkan dalam rangka peningkatan disiplin dan penegakan hukum protokol kesehatan pencegahan penyebaran virus covid,neutral,0.9982010126113892
,jelang musim dingin di eropa kasus covid di sejumlah negara di eropa kembali meledak hingga saat ini paling banyak ada di inggris baru ia serbia romania dan bulgaria inggris di kabarkan telah melakukan pembatasan kegiatan warganya dan mewacanakan akan melakukan lockdown,neutral,0.9792252779006958
,penyakit menular yang lebih bahaya dari covid itu sendiri telah menjalar di berbagai lembaga negara terlihat dari fenomena akhir ini bertubi oknum yang mempertontonkan arogansi ketika bersentuhan amp berkomunikasi dengan rakyat mereka lupa lembaganya ada untuk mengabdi pada bangsa,negative,0.9992210865020752
,the significant risks posed tryout mothers dan fetuses by covid ini pregnancy have sparked worldwide debate surrounding the pros dan cons of antenatal sars cov inoculation,neutral,0.9909404516220093
,research team at johns hopkins analyzed approximately children under years old diagnosed with covid dan found mortality rate of zero among children who did belum have pre existing medical condition such as leukemia,neutral,0.998497724533081
,aksi unjuk rasa juga meminta pemerintah aceh bertanggungjawab terhadap dana hibah covid untuk organisasi kemasyarakatan pemuda okp dan badan eksekutif mahasiswa bem di aceh,neutral,0.996933102607727
,mari kita berjuang melawan,negative,0.9996191263198853
,menteri keuangan sri mulyani menyebut indonesia masih perlu waspada covid karena negara negara yang memiliki tingkat vaksinasi tinggi pun mengalami kesulitan menghadapi pandemi,neutral,0.9980227947235107
,walaupun tingkat penyebaran virus covid telah menurun presiden mengingatkan kita agar tidak lalai dalam menjalankan prokes gelombang pandemi covid bukan tidak mungkin terjadi untuk itu pemerintah bersama stakeholder nya tetap fokus dalam menghadapi pandemi ini,positive,0.9891263842582703
,bagaimana tanggapannya terkait cuitan ini min,neutral,0.9967980980873108
,insentif covid kemenkes ri belakangan jadi polemik karena ada tenaga kesehatan yang diminta mengembalikan dana tersebut kemenkes buka suara begini klarifikasinya,neutral,0.9965603947639465
,dan dapat menunjukkan bukti konfirmasi pemesanan dan pembayaran booking tempat akomodasi selama menetap di indonesia untuk informasi terkait covid kunjungi situs resmi penanganan covid dan pemulihan ekonomi nasional dan,neutral,0.9980958104133606
,quindi numeri casaccio che dai lei sui vaccinati non vaccinati sono tapi attendibili dei numeri forniti sulla base del numero di persone andata ini farmacia dal farmacista il suo ego pare ipertrofico dati del totale vaccinati non vaccinati pag,neutral,0.8349941968917847
,mendampingi bupati pemalang mas agung bersama forkopimda serta opd terkait mengikuti rapat koordinasi penanganan covid di provinsi jawa tengah secara virtual di command room diskominfo pemalang senin rapat koordinasi tersebut dipimpin gunernur jawa tengah,neutral,0.9979621171951294
,menteri koordinator politik hukum dan ham menkopolhukam mahfud md menyatakan kerja kerja pemerintah yang selama ini menangani pandemik covid mulai membuahkan hasil positif ia mengingat jika dulu pemerintah kerap dibully para aktivis,neutral,0.6798263788223267
,covid certificat of vaccination id,neutral,0.9965002536773682
,total jumlah penerima manfaat program ini adalah orang yang terdiri dari masyarakat umum sekitar lokasi vaksinasi program ini merupakan bukti komitmen nyata lps dalam mendukung percepatan vaksinasi covid yang digalakkan pemerintah indonesia,neutral,0.9599522352218628
,besar harapan semoga dengan digelarnya program ini dapat berkontribusi dalam mendukung percepatan vaksinasi covid yang digalakkan pemerintah indonesia,positive,0.9799607396125793
,isu bohong vaksin covid mengandung microchip magnetis fakta informasi tersebut tidak benar juru bicara vaksinasi covid kemenkes dari siti nadia tarmidzi mengatakan jumlah cairan vaksin yang disuntikkan hanya cc dan akan segera menyebar di seluruh jaringan sekitar sumber,negative,0.9118912816047668
,feature warga negara tiongkok di kuba terima suntikan vaksin covid,neutral,0.9951820969581604
,strategi ppkm yang diterapkan pemerintah cukup berhasil hal ini terbukti dari turunnya angka kasus covid secara signifikan semua ini berkat peran pemerintah dan peran serta masyarakat yang patuh dan disiplin protokol kesehatan dan mengikuti program vaksinasi,positive,0.9987892508506775
,segundo despresidente bostonaro estou com virus lah hiv apa tomar terceira dose lah vacina contra covid seri aqui sei como alguem tem coragem deh defender e e lixo quest deh ser direita ou esquerda quest deh ser algu sensato,positive,0.8259952068328857
,simak laporan amnesty international dibungkam dan disesatkan kebebasan berekspresi dalam bahaya selama covid tentang bagaimana ketergantungan sejumlah pemerintahan pada sensor dan hukuman telah mengurangi kualitas informasi pandemi di,negative,0.5382195711135864
,the coronavirus isn new virus nobody should be like omg new virus no the coronavirus was first detected ini pets cats dogs the first human transmi ion was ini the the first transmi ion tryout child was ini,neutral,0.9946106672286987
,los ini os deh regresan clases presenciales este lunes bajo medidas deh bioseguridad luego deh meses deh ausencia debido lah pandemia deh lah anunci el presidente,positive,0.9465435743331909
,kementerian kesehatan kemenkes merilis tambahan kasus positif covid terbaru per hari ini sebanyak spesimen diperiksa dengan hasil ada kasus positif covid baru,neutral,0.9980165958404541
,bapak ingatkan skenario terburuk usai pandemi covid ada meninggal,neutral,0.9963021278381348
,facebook retira el ltimo directo del presidente deh brasil jair bolsonaro en el que aseguraba que aquellos que se vacunan contra el coronavirus est desarrollando el ndrome deh lah inmunodeficiencia adquirida,neutral,0.9529510736465454
,kegiatan bhabinkamtibmas memberikan sosialisasi tentang protokol kesehatan dan manfaat vaksinasi sebagai proteksi diri dari virus covid,neutral,0.9936368465423584
,lah guerra contra lah verdad deh bolsonaro ser rid cula sih no fuera tragica facebook tertawa retirado el ltimo directo del presidente deh brasil en el que aseguraba que aquellos que se vacunan contra el coronavirus est desarrollando el sida,positive,0.8712330460548401
,ahmad faizal berkata buat masa ini kerajaan mengutamakan kepada usaha pemulihan ekonomi negara pasca pandemik covid berbanding mengeluarkan dana untuk kos penganjuran pusingan kelayakan itu,neutral,0.9943713545799255
,will on thursday october addre the nation on the covid situation amp any other related saya ues at pm according tryout the presidential pre secretary courtesy photo,neutral,0.9969462752342224
,mas dhito menambahkan saat ini pemerintah berupaya keras untuk memulihkan perekonomian masyarakat di tengah pandemik covid mas dhito bupati kediri,neutral,0.9983325600624084
,the covid pandemic continues tryout create significant health social amp economic challenges ini ethiopia said but why hasn been addre edisi amp the role funding will play ini the,neutral,0.9947054982185364
,kita harus tetap waspada untuk menghindari risiko lonjakan kasus covid kata dalam keterangan tertulis hal ini sudah terjadi di negara negara eropa seperti inggris dan rusia,neutral,0.8871400952339172
,il trattato sul garantirebbe regole edisi una cornice di azione chiara per tutti oltre equilibrio edisi inclusione tertawa spiegato il presidente del consiglio europeo charles michel,neutral,0.9968193769454956
,facebook instagram expurgam live em que bolsonaro menjadi seseorang ocia vacina contra covid aids com teto deh gastos estourado presidente diz que ele paulo guedes sair juntos di governo,neutral,0.9919237494468689
,garis warna coklat pasti menggambarkan laju kasus covid di negara wakanda tulisan nama negaranya sengaja saya blur,negative,0.6805811524391174
,as of october the indonesian government has imported doses of covid vaccine of which doses is provided by sinovac instagram,neutral,0.997698962688446
,tidak ada presiden yang bersedia menjadi kelinci percobaan vaksin covid untuk rakyatnya kecuali dari sini sudah kelihatan beliau benar bekerja dan memikirkan rakyatnya dan ini tidak akan pernah diapresiasi sama sjw aktipis sa ham kocak,negative,0.9716647267341614
,el comercio mundial lleva meses noqueado por lah pandemia,neutral,0.9955691695213318
,ujian sekolah cases by johns hopkins sih e as of cdt,neutral,0.9982823133468628
,el presidente deh lah rep blica ben tez recibe su segunda dosis deh vacuna contra el,neutral,0.7013282179832458
,mohon izin kritik pak dan test pcr kita tahu sendiri bahwa ditegakkan sebagai pemeriksaan penunjang suspect pneumonia covid bukan dijadikan seperti bisnis seperti ini ekonomi warga tidak semuanya sama,negative,0.9941205382347107
,kasus covid di inggris beberapa hari terakhir menjadi sorotan karena mencapai puncak tertinggi semenjak pertengahan juli,neutral,0.9974192380905151
,facebook retirou di ar neste domingo transmi ao vivo feita pelo presidente jair bolsonaro nya ltima quinta feira em que ele menjadi seseorang ocia vacina contra covid com casos deh aids,neutral,0.9900209903717041
,los triajes seguir operando para seguir combatiendo lah covid anuncia el presidente juan orlando hern ndez,neutral,0.9938896894454956
,psychological impact of covid on intensive care survivors status recruiting condition summary covid psychological distre depre ion anxiety post traumatic stre disorder post intensive care syndrome,neutral,0.996665894985199
,el presidente iya recibi su segunda dosis anti covid deh lah vacuna,positive,0.6671764850616455
,presidente deh um apa falar que vacina contra covid est causando aids no nimo criminoso deh uma escrotid jumentice sem tamanho tem que derrubar qquer men ele fa mas sobretudo derrubar ele,neutral,0.9812597632408142
,fokus penyampaian maklumat ke arah peralihan fasa endemik triis penilaian kendiri covid kempen putuskan rantaian covid keluarga malaysia pakej remaja amp peranti keluarga malaysia rancangan malaysia ke rmk,neutral,0.995425283908844
,kabanjahe kepala kejaksaan tinggi sumatera utara kajati sumut ibn wiswantanu sh mah tinjau kegiatan adhyaksa peduli vaksin covid di kejaksaan negeri karo senin,neutral,0.9983067512512207
,imagina ser presidente deh um apa ser pe oa mais burra di mundo junto combinado,positive,0.68487149477005
,as you are using mask tryout tinggal safe dari covid,neutral,0.9979484677314758
,jumlah penduduk nirbooster indonesia sudah dapat vaksinasi kedua hari lalu atau lebih tapi belum dapat per oktober sebesar orang orang dari hari sebelumnya data dari,neutral,0.909031867980957
,porra cara presidente di brasil uma anta quadrada,neutral,0.9940954446792603
,caso algu ainda acredite nya palavra di presidente importante saber nenhum motivo para nico pela mentira dita apenas nico por termos um presidente que fala e e tipo deh mentira infelizmente,neutral,0.875118613243103
,terimakasih kepada pengusaha di kabupaten mojokerto yang telah berpartisipasi dalam survei kegiatan usaha pada masa pandemi covid data yang diberikan dijamin kerahasiaannya dan membantu pemerintah dalam mengambil kebijakan yang tepat sasaran,positive,0.9963679313659668
,sehat terus pak presiden,positive,0.9952982068061829
,pico di gado acreditar em fake news mas tem que ser muito burro pra acreditar que vacina aids mas muito muito burro como seu presidente,neutral,0.9969021081924438
,jadi satgas covid terlibat dalam polemik pcr ini tidak dok,negative,0.5447415709495544
,meu deus onde e e presidente vive no fant stico mundo deh bob,positive,0.700242817401886
,qual lugar deh um presidente que menjadi seseorang ocia vacina contra covid com aids cadeia cadeia cadeia cadeia,neutral,0.9212397336959839
,traumatized,negative,0.9996445178985596
,brazilian president moment,neutral,0.8353736400604248
,algu ainda ouvidos falas di presidente,neutral,0.9745813012123108
,facebook elimin ujian nasional video hecho por el presidente deh brasil jair bolsonaro por mentir sobre lah pandemia espec ficamente al vincular falsamente los vacunados contra el coronavirus con lah posibilidad deh desarrollar hiv el virus del sida,positive,0.4269843101501465
,apoiar crime contra sa deh blica mplices deh e absurdo logo logo veremos presidente di preso por seu sil ncio que compactua para pior cen rio lah sa deh di brasil,neutral,0.855838418006897
,publicou uma nota deh esclarecimento respeito di komen rio feito pelo presidente jair bolsonaro entidade refor que qualquer evid ncia deh rela entre aparecimento deh confira,positive,0.8372474908828735
,ministry of finance kindly approval waiver all the gst late fees gstr final return save all india gstps tax profe ionals tax payers msmes due tryout covid dan lockdown bank loans emis pendings,neutral,0.9968196153640747
,kemenkes terima bantuan obat covid dari pt soho industri pharmasi,neutral,0.998046875
,oggi stata dedicata lah sala dell ufficio di presidenza del consiglio regionale del lazio giovanni bartoloni giovanni stata lah ferita tapi grande del coronavirus alla nostra comunit era uno di noi dell istituzione siamo vicini tutta lah sua famiglia,neutral,0.9870285987854004
,il presidente dell saya silvio non esclude lah terza dose per tutti anche per paura della nuova ennesima variante lah delta plus,neutral,0.8913599252700806
,escuchando defender esta comunicaci sobre el estudio que hemos realizado pediatras enfermeras sobre el impacto deh lah pandemia en el en las unidades neonatales espa olas,neutral,0.5460848212242126
,coronavirus vaccine woman left paralysed dari rare side effect of vaccine traumatic,neutral,0.9962324500083923
,facebook retira el ltimo directo del presidente deh brasil jair bolsonaro en el que aseguraba que aquellos que se vacunan contra el coronavirus est desarrollando sida ojo con las lah desinformaci as son los extremistas,neutral,0.9902612566947937
,las redes sociales facebook instagram retiraron deh sus plataformas el video en que el presidente brasile el der ultraderechista jair bolsonaro vincul el uso deh las vacunas contra el al desarrollo del sida,neutral,0.9952966570854187
,sin duda alguna lah econom dominicana tertawa mostrado gran resiliencia tertawa logrado sortear los efectos econ micos del covid con pol ticas deh apoyo deh car cter monetario fiscal lah voluntad decisi esfuerzo del presidente luis abinader dirigidas reactivar lah producci,positive,0.9674230813980103
,domingo nasa kalau risk cla ification ng covid ang bansa pero mau apat nya rehiyon nya nasa moderate risk apa rin dahil sa dami ng kaso bagama pababa nya hopefully ini the lanjut few weeks sayang magiging kalau risk nya rin ang cla ifcation,positive,0.7801162600517273
,credibility of tony blair is questionable dari his regime ini iraq amp former iraq president saddam hu ein don know which credit our president use tryout appoint him ini this position of covid amba ador tuendelee kuchanja,neutral,0.9751253128051758
,operasi yustisi razia gabungan tni polri satpol pulang pergi dan gugus tugas pendisiplinan amp penindakan pelanggaran protokol kesehatan dalam rangka percepatan penanganan dan pengendalian penyebaran covid di kabupaten karimun,neutral,0.9976400136947632
,untuk keselamatan rakyat dari dijangkiti covid pun tidak adil dan tidak demokratik memang jenis celaja sunggup dap ini,negative,0.9998881816864014
,las cifras tambi muestran que el boom del ecommerce se dispar en julio deh cuando en tiempos deh aislamiento,positive,0.594535768032074
,basta deh pretextos se atau se atau presidente trabajen en bien deh lah gente deh los ini os,positive,0.9548633098602295
,um presidente que diz que vacina contra covid causa aids muita falta deh responsabilidade tem mais deh dez crimes pra ser indiciado pela cpi lah covid continua pregando contra vacina que imuniza contra covid jamais ser reeleito mentiroso,neutral,0.9591531753540039
,copiado deh online percebemos que lave di presidente jair bolsonaro com informa absurda mentirosa menjadi seseorang ociando vacinas contra covid aids continua no ar com visualiza es facebook instagram derrubaram,neutral,0.9954214692115784
,impacto del desconfinamiento por lah covid sobre el patr deh observados en ujian nasional servicio deh saiz al moreno porter tejero miranda molina plata laki-laki dewasa,neutral,0.992856502532959
,you are invited saturday oct troost ave kcmo pumpkin patch trunk atau treat popcorn dan candy lead testing covid vaccinating dan flu shots too,neutral,0.9960101842880249
,balance hoy octubre fase cifras claras act contagiados act en en uci aislam domic curados en fallecidos hilo,neutral,0.9878050088882446
,se youtube tirar di ar deo com fala inver dica di presidente bolsonaro que relacionou vacina contra covid aids conta di presidente nya rede ser suspensa por uma semana globo,neutral,0.996025800704956
,african lions sumatran tiger dan amur tigers at the are reported tryout be recovering jadi several weeks setelah being diagnosed with presumptive positive untuk read more here,neutral,0.9684059023857117
,bolsonaro diz que vacina contra covid causa aids entenda por que informa di presidente mentirosa via utm source,neutral,0.9973128437995911
,facebook has banned video by president bolsonaro dari itu platforms because he made false claims suggesting coronavirus vaccines could cause aids the president cited fake scientific study which has been widely circulated on social media,neutral,0.9962108135223389
,the days are getting shorter dan the temperature is getting lower itu time untuk pumpkin spice lattes dan flu shots memakai sure tryout get your flu shot this season at the smc campus center sign up,neutral,0.9947991371154785
,srail ini brother oldu yer di erleri deh onu takip edecek iya zeri ocuklara destek verilecek ve iya aras ocuklara iya lmaya ba lanacakt bu politikadan sa kalo ocuklar ini hai bir bilimsel veya bbi kazan yoktur bernie,positive,0.6488739848136902
,sr moreno se sigue sin poder ir al dico sih tienes suerte en nimo as dico te ve est is desmantelando lah sanidad blica vais despedir sanitarios que estuvieron en plena nea deh batalla luchando contra el covid,neutral,0.9885497689247131
,facebook retir ujian nasional video del presidente jair bolsonaro deh brasil en que habl sobre que las vacunas contra promueven el desarrollo del sida,neutral,0.9975016713142395
,der er deh verdens plan en verden en verden med mia mennesker det betyder at mennesker er deh med corona coronavirus er en fork lelse og den corona der fiser rundt er skabt et lab du har slet ikke forstand hvad du taler om,neutral,0.9935996532440186
,senhor presidente di brasil tome muito cuidado quando tiver que apresentar alguma reportagem referente ao tratamento precoce covid as vacinas primeiro tenha certeza deh que informa ou belum cia verdadeira comprova cient fica pois di contr rio ter todos os,neutral,0.9975250363349915
,vezes eu me recuso acreditar que saya o aqui presidente di brasil,neutral,0.9982141256332397
,florida recorded covid deaths ini the summer atau fatalities per every residents the worst tally of any state california saw deaths during the same period according tryout johns hopkins university equaling per every residents,neutral,0.9951393604278564
,est acontecendo como nos estados unidos facebook instagram retiraram live di presidente di ar por menjadi seseorang ociar vacinas lah covid aids est querendo bloquear presidente deh qualquer jeito,neutral,0.6664919853210449
,mais uma belum cia desmentido as falas irrespons veis di presidente fico feliz em poder ajudar para esclarecer os fatos,neutral,0.997651994228363
,facebook tirou di ar live di presidente jair bolsonaro em que ele compartilha informa sobre uma suposta rela entre as vacinas contra covid aids ndrome lah imunodefici ncia adquirida,neutral,0.9951076507568359
,deputados di psol di pdt apresentam belum cia crime no contra bolsonaro por fake news sobre vacina aids eles pedem que presidente seja investigado por declarar que vacina contra covid faria as pe oas desenvolverem aids,neutral,0.9954319000244141
,the president of mexico has proven tryout be an enemy of mexican children with him ini command there is no secure future,neutral,0.9983711838722229
,sharing is caring,positive,0.5438454151153564
,fauci untuk president,neutral,0.4988738000392914
,al desinforma sobre covid sobre as vacinas que previnem doen,neutral,0.9970155954360962
